Text,X,A1: NC,X,A2: NC,X,A3: NC,X,A4: NC,X,A5: NC,X,A6: NC,X,A7: NC,X,A8: NC,X,A9: NC,X,A10: NC,X,A11: NC,X,A12: NC,X,B1: BT,X,B2: BT,X,B3: BT,X,B4: BT,X,B5: BT,X,B6: BT,X,B7: BT,X,B8: BT,X,B9: BT,X,B10: BT,X,B11: BT,X,B12: BT,X,C1: CT,X,C2: CT,X,C3: CT,X,C4: CT,X,C5: CT,X,C6: CT,X,C7: CT,X,C8: CT,X,C9: CT,X,C10: CT,X,C11: CT,X,C12: CT,X,D1: DT,X,D2: DT,X,D3: DT,X,D4: DT,X,D5: DT,X,D6: DT,X,D7: DT,X,D8: DT,X,D9: DT,X,D10: DT,X,D11: DT,X,D12: DT,X,E1: ET,X,E2: ET,X,E3: ET,X,E4: ET,X,E5: ET,X,E6: ET,X,E7: ET,X,E8: ET,X,E9: ET,X,E10: ET,X,E11: ET,X,E12: ET,X,F1: FT,X,F2: FT,X,F3: FT,X,F4: FT,X,F5: FT,X,F6: FT,X,F7: FT,X,F8: FT,X,F9: FT,X,F10: FT,X,F11: FT,X,F12: FT,X,G1: GT,X,G2: GT,X,G3: GT,X,G4: GT,X,G5: GT,X,G6: GT,X,G7: GT,X,G8: GT,X,G9: GT,X,G10: GT,X,G11: GT,X,G12: GT,X,H1: HT,X,H2: HT,X,H3: HT,X,H4: HT,X,H5: HT,X,H6: HT,X,H7: HT,X,H8: HT,X,H9: HT,X,H10: HT,X,H11: HT,X,H12: HT
20.16,20.16,85.950841,20.16,84.60062567,20.16,83.60397707,20.16,82.95042728,20.16,82.65032759,20.16,82.69338503,20.16,83.08730718,20.16,83.45175977,20.16,84.91999915,20.16,86.35879813,20.16,88.14587643,20.16,90.28125348,20.16,84.64380947,20.16,83.32869129,20.16,82.36187188,20.16,81.7433415,20.16,81.47310015,20.16,81.55115756,20.16,81.97749429,20.16,82.75212977,20.16,83.87505429,20.16,85.34625812,20.16,87.16577043,20.16,89.33634184,20.16,83.69211361,20.16,82.40942945,20.16,81.47502947,20.16,80.88892825,20.16,80.65111606,20.16,80.76159291,20.16,81.22035879,20.16,82.02741371,20.16,83.18277224,20.16,84.68640037,20.16,86.53833698,20.16,87.19973041,20.16,83.09310001,20.16,81.84283043,20.16,80.94086933,20.16,80.38718268,20.16,80.18179479,20.16,80.32469593,20.16,80.81589583,20.16,81.65537018,20.16,82.76848771,20.16,84.37921516,20.16,86.26357606,20.16,88.49621628,20.16,82.84674923,20.16,81.62891367,20.16,80.759372,20.16,80.24061242,20.16,80.06515091,20.16,80.24047635,20.16,80.76409568,20.16,81.63600891,20.16,82.85620632,20.16,84.42470248,20.16,86.34147796,20.16,88.60930282,20.16,82.95307099,20.16,81.76765972,20.16,80.93054234,20.16,80.44170915,20.16,80.30117471,20.16,80.48391127,20.16,81.06497779,20.16,81.96931046,20.16,83.22193216,20.16,84.82285262,20.16,86.77206211,20.16,89.06956064,20.16,83.41206528,20.16,82.25907831,20.16,81.45439009,20.16,80.99798119,20.16,80.88987104,20.16,81.13004993,20.16,81.71851786,20.16,82.65528454,20.16,83.94034026,20.16,85.57366557,20.16,87.55530908,20.16,89.88523191,20.16,84.22373211,20.16,83.10317915,20.16,82.33090551,20.16,81.90693062,20.16,81.83123505,20.16,82.10384796,20.16,82.72474018,20.16,83.69392144,20.16,85.01140146,20.16,86.67717051,20.16,88.69122859,20.16,91.05357571
20.47,20.47,85.95351387,20.47,84.60324994,20.47,83.6065819,20.47,82.95557862,20.47,82.65290326,20.47,82.69595098,20.47,83.09246825,20.47,83.43873562,20.47,84.92264286,20.47,86.36148072,20.47,88.14861733,20.47,90.28686163,20.47,84.64906772,20.47,83.33387179,20.47,82.36699406,20.47,81.74588801,20.47,81.47563208,20.47,81.55368463,20.47,81.98005052,20.47,82.75470544,20.47,83.87765912,20.47,85.34891155,20.47,87.16848218,20.47,89.33912162,20.47,83.69470872,20.47,82.41198569,20.47,81.47756141,20.47,80.89144074,20.47,80.65362369,20.47,80.7641054,20.47,81.22288586,20.47,82.02996994,20.47,83.18535763,20.47,84.68903436,20.47,86.54101956,20.47,87.08391269,20.47,83.0956854,20.47,81.84537695,20.47,80.94338668,20.47,80.38968059,20.47,80.18428784,20.47,80.32718898,20.47,80.81840346,20.47,81.65790697,20.47,82.77106338,20.47,84.38182971,20.47,86.26625865,20.47,88.4989669,20.47,82.85189085,20.47,81.63398725,20.47,80.76187963,20.47,80.24310547,20.47,80.0676391,20.47,80.2429694,20.47,80.76660332,20.47,81.6385457,20.47,82.85878199,20.47,84.42732675,20.47,86.34684313,20.47,88.61206316,20.47,82.95564666,20.47,81.77020623,20.47,80.93305484,20.47,80.44421192,20.47,80.30367262,20.47,80.47891058,20.47,81.06749515,20.47,81.97185697,20.47,83.22451755,20.47,84.82548661,20.47,86.77475442,20.47,89.07509105,20.47,83.41466039,20.47,82.26163454,20.47,81.45692202,20.47,81.00049854,20.47,80.8923884,20.47,81.13257215,20.47,81.72105465,20.47,82.65785049,20.47,83.94554992,20.47,85.57632872,20.47,87.55803055,20.47,89.89082063,20.47,84.22634665,20.47,83.10576454,20.47,82.33346174,20.47,81.90946742,20.47,81.83378157,20.47,82.10640419,20.47,82.72730613,20.47,83.69652627,20.47,85.01404516,20.47,86.67986281,20.47,88.69398893,20.47,91.05640409
20.85,20.85,85.96152476,20.85,84.61376619,20.85,83.61436911,20.85,82.96331408,20.85,82.66060109,20.85,82.70623016,20.85,83.10021099,20.85,83.4334762,20.85,84.93319881,20.85,86.37221552,20.85,88.15957427,20.85,90.29527508,20.85,84.65695535,20.85,83.34164455,20.85,82.37467579,20.85,81.75604909,20.85,81.48575957,20.85,81.56382182,20.85,81.99024071,20.85,82.76499192,20.85,83.88808518,20.85,85.35952049,20.85,87.17931729,20.85,89.34744642,20.85,83.70511204,20.85,82.42222956,20.85,81.48768913,20.85,80.90149561,20.85,80.663649,20.85,80.77414444,20.85,81.23298193,20.85,82.04016633,20.85,83.19569764,20.85,84.69956128,20.85,86.55177668,20.85,86.97613477,20.85,83.10601426,20.85,81.85555039,20.85,80.95344801,20.85,80.3996731,20.85,80.19425481,20.85,80.33717372,20.85,80.82844925,20.85,81.66805712,20.85,82.77362392,20.85,84.39231844,20.85,86.27698161,20.85,88.50996739,20.85,82.85962314,20.85,81.64159732,20.85,80.7719184,20.85,80.25058639,20.85,80.07759158,20.85,80.25294367,20.85,80.77664267,20.85,81.64869344,20.85,82.8690814,20.85,84.43782113,20.85,86.35489319,20.85,88.62031702,20.85,82.96595811,20.85,81.78037033,20.85,80.94311488,20.85,80.4542112,20.85,80.31365443,20.85,80.48641109,20.85,81.0775719,20.85,81.98204614,20.85,83.23486243,20.85,84.83603048,20.85,86.78554059,20.85,89.08339275,20.85,83.4250289,20.85,82.27185972,20.85,81.46704718,20.85,81.01056697,20.85,80.90244338,20.85,81.14265699,20.85,81.73121265,20.85,82.66812493,20.85,83.95337926,20.85,85.58696593,20.85,87.56891408,20.85,89.89919456,20.85,84.23681606,20.85,83.11609465,20.85,82.34113931,20.85,81.91711172,20.85,81.84395357,20.85,82.11661008,20.85,82.73758921,20.85,83.70692982,20.85,85.02461248,20.85,86.69063719,20.85,88.70501367,20.85,91.06772248
21.23,21.23,85.95351387,21.23,84.60588393,21.23,83.6065819,21.23,82.95557862,21.23,82.65290326,21.23,82.69852666,21.23,83.09246825,21.23,83.40747767,21.23,84.92528657,21.23,86.36417302,21.23,88.15135823,21.23,90.28686163,21.23,84.64906772,21.23,83.33387179,21.23,82.36699406,21.23,81.7484248,21.23,81.47816402,21.23,81.55622143,21.23,81.98259703,21.23,82.75727139,21.23,83.88026395,21.23,85.35156498,21.23,87.1711842,21.23,89.33912162,21.23,83.69731355,21.23,82.41455164,21.23,81.48009334,21.23,80.89395324,21.23,80.65613133,21.23,80.76661304,21.23,81.22540808,21.23,82.03251645,21.23,83.18794302,21.23,84.69166835,21.23,86.54101956,21.23,86.85225782,21.23,83.09826107,21.23,81.84792346,21.23,80.94589918,21.23,80.39217851,21.23,80.18677604,21.23,80.3296869,21.23,80.82091596,21.23,81.66044377,21.23,82.75560936,21.23,84.38445398,21.23,86.26894123,21.23,88.50171752,21.23,82.85189085,21.23,81.63398725,21.23,80.76439213,21.23,80.24310547,21.23,80.0701273,21.23,80.24546246,21.23,80.76911581,21.23,81.6410825,21.23,82.86135766,21.23,84.42995102,21.23,86.34684313,21.23,88.61206316,21.23,82.95823205,21.23,81.77274302,21.23,80.93557219,21.23,80.44421192,21.23,80.30617054,21.23,80.47140226,21.23,81.07001736,21.23,81.97440348,21.23,83.22451755,21.23,84.82548661,21.23,86.77475442,21.23,89.07509105,21.23,83.4172555,21.23,82.26419077,21.23,81.45945395,21.23,81.00301589,21.23,80.89490089,21.23,81.13509436,21.23,81.72360116,21.23,82.66041644,21.23,83.94554992,21.23,85.57899187,21.23,87.56075201,21.23,89.89082063,21.23,84.22634665,21.23,83.10576454,21.23,82.33346174,21.23,81.90946742,21.23,81.83378157,21.23,82.10640419,21.23,82.72730613,21.23,83.69652627,21.23,85.01404516,21.23,86.68255512,21.23,88.69673956,21.23,91.05923247
21.6,21.6,85.97488471,21.6,84.62428506,21.6,83.62476373,21.6,82.97362776,21.6,82.67087715,21.6,82.71651189,21.6,83.1105417,21.6,83.40475646,21.6,84.94375739,21.6,86.38295299,21.6,88.17053394,21.6,90.30650025,21.6,84.66747959,21.6,83.35200527,21.6,82.38491631,21.6,81.76621269,21.6,81.49588958,21.6,81.57396153,21.6,82.00043343,21.6,82.77528095,21.6,83.89851383,21.6,85.37013207,21.6,87.1901551,21.6,89.35855376,21.6,83.71551795,21.6,82.43247599,21.6,81.49781938,21.6,80.91155299,21.6,80.67367681,21.6,80.78418598,21.6,81.24308051,21.6,82.05036526,21.6,83.20604022,21.6,84.71009081,21.6,86.56253648,21.6,86.72490243,21.6,83.11634569,21.6,81.86572637,21.6,80.96351184,21.6,80.40966808,21.6,80.20422426,21.6,80.34716094,21.6,80.83849754,21.6,81.67820979,21.6,82.76588957,21.6,84.40280977,21.6,86.28770724,21.6,88.52097062,21.6,82.86992394,21.6,81.65174669,21.6,80.78195966,21.6,80.26056285,21.6,80.08754652,21.6,80.26292041,21.6,80.78668452,21.6,81.6588437,21.6,82.87938338,21.6,84.44831813,21.6,86.36562851,21.6,88.63133397,21.6,82.97627213,21.6,81.79053696,21.6,80.95317743,21.6,80.46421297,21.6,80.32363873,21.6,80.48890667,21.6,81.08765116,21.6,81.99223784,21.6,83.24520987,21.6,84.84657698,21.6,86.79632944,21.6,89.09446726,21.6,83.43539999,21.6,82.28208745,21.6,81.47717486,21.6,81.0206379,21.6,80.91250087,21.6,81.15274434,21.6,81.74137316,21.6,82.67840192,21.6,83.96381604,21.6,85.59760578,21.6,87.57980032,21.6,89.9103705,21.6,84.24728806,21.6,83.12642733,21.6,82.35393252,21.6,81.92983277,21.6,81.85412811,21.6,82.12681851,21.6,82.74787483,21.6,83.71733595,21.6,85.03518242,21.6,86.70141424,21.6,88.71604114,21.6,91.07904368
21.83,21.83,85.95617702,21.83,84.60588393,21.83,83.60917701,21.83,82.95816401,21.83,82.65546921,21.83,82.69852666,21.83,83.09505364,21.83,83.36058102,21.83,84.92528657,21.83,86.36685561,21.83,88.15135823,21.83,90.28967057,21.83,84.65169199,21.83,83.3364669,21.83,82.36955029,21.83,81.7484248,21.83,81.48069595,21.83,81.55622143,21.83,81.98259703,21.83,82.75727139,21.83,83.88026395,21.83,85.35421841,21.83,87.1711842,21.83,89.34189168,21.83,83.69731355,21.83,82.41455164,21.83,81.48009334,21.83,80.89395324,21.83,80.65613133,21.83,80.76661304,21.83,81.22540808,21.83,82.03251645,21.83,83.18794302,21.83,84.69166835,21.83,86.54371187,21.83,86.57372573,21.83,83.09826107,21.83,81.84792346,21.83,80.94589918,21.83,80.39217851,21.83,80.18677604,21.83,80.3296869,21.83,80.82091596,21.83,81.66044377,21.83,82.74531639,21.83,84.38445398,21.83,86.2716141,21.83,88.50171752,21.83,82.85446653,21.83,81.63652405,21.83,80.76439213,21.83,80.24559853,21.83,80.0701273,21.83,80.24795551,21.83,80.77162344,21.83,81.64361929,21.83,82.86135766,21.83,84.42995102,21.83,86.34952572,21.83,88.61481378,21.83,82.95823205,21.83,81.77274302,21.83,80.93557219,21.83,80.44670984,21.83,80.30617054,21.83,80.46639671,21.83,81.07001736,21.83,81.97440348,21.83,83.22710294,21.83,84.8281206,21.83,86.77745644,21.83,89.07786111,21.83,83.4172555,21.83,82.26419077,21.83,81.45945395,21.83,81.00301589,21.83,80.89741338,21.83,81.13509436,21.83,81.72360116,21.83,82.66041644,21.83,83.94816447,21.83,85.58164529,21.83,87.56347348,21.83,89.89361013,21.83,84.22897092,21.83,83.10834021,21.83,82.33601797,21.83,81.91201393,21.83,81.83632808,21.83,82.1089507,21.83,82.72988181,21.83,83.6991311,21.83,85.01668887,21.83,86.68255512,21.83,88.69673956,21.83,91.05923247
22.19,22.19,85.97754852,22.19,84.6269197,22.19,83.62996497,22.19,82.97879011,22.19,82.67602005,22.19,82.7190882,22.19,83.11571377,22.19,83.36827978,22.19,84.94640176,22.19,86.38564596,22.19,88.17327553,22.19,90.30930988,22.19,84.67273916,22.19,83.35718706,22.19,82.38747317,22.19,81.76875012,22.19,81.49842214,22.19,81.57649896,22.19,82.00298057,22.19,82.77784754,22.19,83.90111931,22.19,85.37278615,22.19,87.19285779,22.19,89.36410498,22.19,83.71812343,22.19,82.43504258,22.19,81.50035194,22.19,80.9140661,22.19,80.67618507,22.19,80.78669424,22.19,81.24560335,22.19,82.0529124,22.19,83.20862625,22.19,84.71272545,22.19,86.56522945,22.19,86.46284781,22.19,83.11892201,22.19,81.86827351,22.19,80.96602496,22.19,80.41216662,22.19,80.20671308,22.19,80.34965947,22.19,80.84101066,22.19,81.68074721,22.19,82.76588957,22.19,84.4054347,22.19,86.2903905,22.19,88.52372193,22.19,82.87249053,22.19,81.65682154,22.19,80.78447278,22.19,80.2655502,22.19,80.09003534,22.19,80.26541409,22.19,80.78919764,22.19,81.66138113,22.19,82.88195969,22.19,84.45094305,22.19,86.36831176,22.19,88.6368463,22.19,82.97885816,22.19,81.79307439,22.19,80.95569541,22.19,80.46671151,22.19,80.32613726,22.19,80.48140134,22.19,81.090174,22.19,81.99478499,22.19,83.24779591,22.19,84.84921162,22.19,86.79903214,22.19,89.10000876,22.19,83.43799574,22.19,82.28464432,22.19,81.47970742,22.19,81.02315588,22.19,80.91501399,22.19,81.15526718,22.19,81.74392031,22.19,82.68096851,22.19,83.96903671,22.19,85.60026959,22.19,87.58252246,22.19,89.91317041,22.19,84.24991298,22.19,83.12900365,22.19,82.35648938,22.19,81.93237992,22.19,81.85667525,22.19,82.12936566,22.19,82.75045114,22.19,83.71994143,22.19,85.03782678,22.19,86.70410722,22.19,88.71879245,22.19,91.08187276
22.55,22.55,85.96686144,22.55,84.61640051,22.55,83.61956969,22.55,82.96847578,22.55,82.66574335,22.55,82.70880615,22.55,83.10538242,22.55,83.32926035,22.55,84.93584285,22.55,86.37759108,22.55,88.16231552,22.55,90.30089365,22.55,84.66221427,22.55,83.34682569,22.55,82.37978889,22.55,81.7585862,22.55,81.49082407,22.55,81.56635893,22.55,81.99278754,22.55,82.76755819,22.55,83.89069033,22.55,85.364828,22.55,87.18473173,22.55,89.35299695,22.55,83.7077172,22.55,82.42479583,22.55,81.49022138,22.55,80.90400842,22.55,80.66615695,22.55,80.77665239,22.55,81.23550446,22.55,82.04271316,22.55,83.19828335,22.55,84.70219559,22.55,86.55446932,22.55,86.33625857,22.55,83.10859026,22.55,81.85809722,22.55,80.95596082,22.55,80.40466955,22.55,80.19674332,22.55,80.33967194,22.55,80.83096206,22.55,81.67313134,22.55,82.74529774,22.55,84.39494303,22.55,86.28233773,22.55,88.51271836,22.55,82.8647654,22.55,81.64667153,22.55,80.77443121,22.55,80.25557312,22.55,80.08256858,22.55,80.2579304,22.55,80.78166342,22.55,81.65376766,22.55,82.87165739,22.55,84.44044573,22.55,86.36025903,22.55,88.62582867,22.55,82.96854382,22.55,81.78290744,22.55,80.94563255,22.55,80.45670943,22.55,80.31615266,22.55,80.46639127,22.55,81.08009443,22.55,81.98459297,22.55,83.23744814,22.55,84.8386648,22.55,86.78824295,22.55,89.08893356,22.55,83.42762433,22.55,82.27441627,22.55,81.46957943,22.55,81.01308464,22.55,80.907469,22.55,81.14517952,22.55,81.73375947,22.55,82.6706912,22.55,83.95859929,22.55,85.59228316,22.55,87.57435769,22.55,89.90478398,22.55,84.23944065,22.55,83.11867064,22.55,82.34625241,22.55,81.92219566,22.55,81.8465004,22.55,82.11915691,22.55,82.7401652,22.55,83.70953497,22.55,85.02725651,22.55,86.69332983,22.55,88.70776463,22.55,91.07055121
22.9,22.9,85.96953464,22.9,84.6190251,22.9,83.62216513,22.9,82.97105177,22.9,82.66830962,22.9,82.71137242,22.9,83.10795841,22.9,83.3084094,22.9,84.93847717,22.9,86.37759108,22.9,88.16505676,22.9,90.30369322,22.9,84.66484858,22.9,83.34941141,22.9,82.38235516,22.9,81.7611233,22.9,81.49082407,22.9,81.56889604,22.9,81.99533436,22.9,82.77013418,22.9,83.89329549,22.9,85.36748176,22.9,87.18473173,22.9,89.35577708,22.9,83.71032235,22.9,82.42735238,22.9,81.49275363,22.9,80.90652609,22.9,80.66866004,22.9,80.7791652,22.9,81.23803185,22.9,82.04525999,22.9,83.20086906,22.9,84.70482991,22.9,86.55716196,22.9,86.18180603,22.9,83.11117597,22.9,81.86064405,22.9,80.95847848,22.9,80.40466955,22.9,80.19923668,22.9,80.33717372,22.9,80.83347487,22.9,81.67313134,22.9,82.74787373,22.9,84.39756763,22.9,86.28233773,22.9,88.51546932,22.9,82.86734139,22.9,81.64920864,22.9,80.77693915,22.9,80.25806649,22.9,80.08256858,22.9,80.2579304,22.9,80.78166342,22.9,81.65376766,22.9,82.87423339,22.9,84.44307032,22.9,86.36294195,22.9,88.62857964,22.9,82.97111981,22.9,81.78545427,22.9,80.94815022,22.9,80.45920765,22.9,80.31864602,22.9,80.4613851,22.9,81.08261209,22.9,81.9871398,22.9,83.24003385,22.9,84.84129911,22.9,86.79093559,22.9,89.09170396,22.9,83.43021004,22.9,82.27697282,22.9,81.47211168,22.9,81.0156023,22.9,80.907469,22.9,81.14770204,22.9,81.73629658,22.9,82.67326719,22.9,83.96120445,22.9,85.59228316,22.9,87.57435769,22.9,89.90757383,22.9,84.24205553,22.9,83.12125636,22.9,82.34880896,22.9,81.92474249,22.9,81.84903751,22.9,82.12171346,22.9,82.74273147,22.9,83.7121304,22.9,85.02990055,22.9,86.69602247,22.9,88.71052532,22.9,91.07337994
23.26,23.26,85.99091212,23.26,84.64270173,23.26,83.6429589,23.26,82.99168364,23.26,82.68886621,23.26,82.73451635,23.26,83.12862432,23.26,83.30306715,23.26,84.96224295,23.26,86.40175361,23.26,88.18971239,23.26,90.32614845,23.26,84.68590163,23.26,83.37013736,23.26,82.40284064,23.26,81.78400177,23.26,81.51362073,23.26,81.59171698,23.26,82.01827107,23.26,82.79328299,23.26,83.91676248,23.26,85.38870953,23.26,87.20912414,23.26,89.37799659,23.26,83.73373412,23.26,82.45041596,23.26,81.51555078,23.26,80.92915801,23.26,80.69122795,23.26,80.80176059,23.26,81.26075593,23.26,82.06820911,23.26,83.22414443,23.26,84.72851815,23.26,86.58136915,23.26,86.04047095,23.26,83.13442903,23.26,81.88353754,23.26,80.98112333,23.26,80.42716209,23.26,80.22167328,23.26,80.35715064,23.26,80.85608863,23.26,81.6959782,23.26,82.75557666,23.26,84.42117946,23.26,86.30647658,23.26,88.54023153,23.26,82.88794747,23.26,81.66951181,23.26,80.79953885,23.26,80.27802373,23.26,80.10497131,23.26,80.2803816,23.26,80.8042643,23.26,81.6766097,23.26,82.89740809,23.26,84.46669347,23.26,86.38441726,23.26,88.65061832,23.26,82.99432833,23.26,81.80832906,23.26,80.97079249,23.26,80.47921492,23.26,80.34111718,23.26,80.4813929,23.26,81.10529267,23.26,82.01007446,23.26,83.2607326,23.26,84.86239604,23.26,86.81521063,23.26,89.11385781,23.26,83.45355216,23.26,82.29998928,23.26,81.49490369,23.26,81.03826621,23.26,80.93010116,23.26,81.1703988,23.26,81.75915915,23.26,82.69639192,23.26,83.98208253,23.26,85.61623097,23.26,87.59885671,23.26,89.92993055,23.26,84.26300345,23.26,83.14192557,23.26,82.36928609,23.26,81.94511417,23.26,81.86939037,23.26,82.14213413,23.26,82.76330656,23.26,83.73294655,23.26,85.05104438,23.26,86.72027391,23.26,88.73534575,23.26,91.09885599
